,index,dates,place_names,tweets,long,lat,clean_tweets,polarity_cl,polarity
0,0,2016-10-20 01:15:29.538,,RT @JNSmall: Is it just me or is .@realDonaldTrump really mellow? Did he take a valium before this #debate ?,,, is it just me or is  really mellow did he take a valium before this ,2,2
1,1,2016-10-20 01:15:29.616,,"Clinton brings up NRA's strong support of Trump, she clearly sees that as a net negative. New this cycle for Dems.",,,clinton brings up nras strong support of trump she clearly sees that as a net negative new this cycle for dems,2,2
2,2,2016-10-20 01:15:29.660,,"RT @FillWerrell: ""Hillary Clinton is loyal, smart, inspir-"" https://t.co/7Zs8ls4DjO",,, hillary clinton is loyal smart inspir-,2,2
3,3,2016-10-20 01:15:29.606,,"RT @JaredWyand: Fun fact: if we banned democrats, homicides would fall by 90%

#Debate",,, fun fact if we banned democrats homicides would fall by ,2,2
4,4,2016-10-20 01:15:29.582,"Timberwood Park, TX",Hillary will kill 2A slowly by regulating the hell out of it and then making manufacturers liable for damages #debatenight,-98.4863935,29.689818,hillary will kill a slowly by regulating the hell out of it and then making manufacturers liable for damages,2,2
5,5,2016-10-20 01:15:29.641,,RT @kateesiegel: Hello sniffles my old friend.... #debate,,, hello sniffles my old friend,2,2
6,6,2016-10-20 01:15:29.682,,RT @KatTimpf: Is there a murderous toddler mafia on the loose that I am unaware of #debate,,, is there a murderous toddler mafia on the loose that i am unaware of,2,2
7,7,2016-10-20 01:15:29.658,"North Bethesda, MD",Is it me or does this moderator have more control of this debate than  previous debates #debatenight,-77.1202525,39.043469,is it me or does this moderator have more control of this debate than previous debates,2,4
8,8,2016-10-20 01:15:29.650,,I'm not even going to watch this debate. These two should not be presidential candidates. #debatenight,,,im not even going to watch this debate these two should not be presidential candidates,0,2
9,9,2016-10-20 01:15:29.696,,"RT @lilghosthands: Hillary has a button on her podium that will cut Donald off with the opening of ""Run Away With Me"" if pressed",,, hillary has a button on her podium that will cut donald off with the opening of run away with me if pressed,2,2
10,10,2016-10-20 01:15:29.628,,RT @StefanMolyneux: Toddlers killed by weapons? Is Hillary Clinton talking about Obama's drone program?,,, toddlers killed by weapons is hillary clinton talking about obamas drone program,2,2
11,11,2016-10-20 01:15:29.562,,I'm 💯% sure #Trump is an 👽 wearing human skin! #DebateNight,,,im  sure is an wearing human skin,2,4
12,12,2016-10-20 01:15:29.617,,RT @TimSClark: Hillary fails to answer question about her view of the Constitution #debatenight,,, hillary fails to answer question about her view of the constitution,2,2
