,index,dates,place_names,tweets,long,lat,clean_tweets,polarity,polarity_q_clinton,polarity_q_trump
0,0,2016-10-10 01:12:12.714,,"RT @TeenVogue: To all sexual assault survivors, remember, it's okay to look away if you want to. We know this must be especially hard for y…",,, to all sexual assault survivors remember its okay to look away if you want to we know this must be especially hard for y…,2,2,2
1,1,2016-10-10 01:12:12.618,,"RT @WayneDupreeShow: #DonaldTrump I want to fix our inner cities better for African Americans and Latinos 

#debate #DebateNight #Debates20…",,, i want to fix our inner cities better for african americans and latinos …,2,2,2
2,2,2016-10-10 01:12:12.697,,"Did you apologize to the women, ASSHOLE?

#debate",,,did you apologize to the women asshole,2,2,2
3,3,2016-10-10 01:12:12.570,,"RT @ShaunKing: YOU LIE Donald Trump. 

You said that you grab women by the genitals and kiss them without permission.

YOU LIE.

#debate",,, you lie donald trump you said that you grab women by the genitals and kiss them without permission you lie,2,2,2
4,4,2016-10-10 01:12:12.661,,RT @HillaryClinton: Let's go. #Debate https://t.co/HD3ZVJ9xl8,,, lets go 8,2,2,2
5,5,2016-10-10 01:12:13.666,,"RT @guypbenson: Trump vacillating wildly between ""locker room talk,"" an apology and ISIS.",,, trump vacillating wildly between locker room talk an apology and isis,2,2,2
6,6,2016-10-10 01:12:13.670,,#debate That's an apology? Locker room talk to talk about grabbing pussy without consent?,,,thats an apology locker room talk to talk about grabbing pussy without consent,2,2,2
7,7,2016-10-10 01:12:13.628,,"You can't cover your ""locker room talk"" with ISIS Mr. Trump #debate",,,you cant cover your locker room talk with isis mr trump,2,2,2
8,8,2016-10-10 01:12:13.628,,"RT @MrJamesonNeat: .@MotherJones exposes Trump Model Management of trafficking 14+ year old girls, as rape case from former teen model agai…",,,  ees trump model management of trafficking  year old girls as rape case from former teen model agai…,2,2,2
9,9,2016-10-10 01:12:13.683,,"RT @Deanofcomedy: No Trump, bragging about sexually assaulting women is not ""locker room banter."" It's  a crime. My CNN https://t.co/hldpJY…",,, no trump bragging about sexually assaulting women is not locker room banter its a crime my cnn,0,0,0
10,10,2016-10-10 01:12:13.516,,"#TrumpSniffles is back again, and Trump can't stay on topic. Not surprising. #debates",,,is back again and trump cant stay on topic not surprising,0,0,0
11,11,2016-10-10 01:12:13.499,,Trump re to #trumptapes well there's terrorist and stuff so it's ok that I'm an asshole #debate,,,trump re to well theres terrorist and stuff so its ok that im an asshole,2,2,2
